ts_utc,run_name,stage,dt_s,detail
2026-02-08T17:41:14.054Z,p1_crnn_seed42,run_start,,model=crnn epochs=50 bs=64 lr=0.001 seed=42
2026-02-08T17:41:14.057Z,p1_crnn_seed42,load_datasets_start,,mode=full
2026-02-08T17:41:14.059Z,p1_crnn_seed42,load_datasets_done,0.00,train=250050 val=63056 test=67256
2026-02-08T17:41:14.059Z,p1_crnn_seed42,device_selected,,device=mps name=Apple MPS GPU
2026-02-08T17:41:14.075Z,p1_crnn_seed42,model_initialized,,model=crnn params=73411
2026-02-08T18:17:18.798Z,p1_crnn_seed42,epoch_done,2163.98,epoch=1 train_loss=0.4684 train_acc=0.8008 train_f1=0.7704 val_loss=0.5994 val_acc=0.7927 val_f1=0.7585
2026-02-08T18:53:02.722Z,p1_crnn_seed42,epoch_done,2143.92,epoch=2 train_loss=0.2887 train_acc=0.8962 train_f1=0.8735 val_loss=0.5253 val_acc=0.8081 val_f1=0.7715
2026-02-08T19:28:47.561Z,p1_crnn_seed42,epoch_done,2144.84,epoch=3 train_loss=0.2520 train_acc=0.9108 train_f1=0.8888 val_loss=0.5337 val_acc=0.8110 val_f1=0.7784
2026-02-08T20:04:25.443Z,p1_crnn_seed42,epoch_done,2137.88,epoch=4 train_loss=0.2320 train_acc=0.9179 train_f1=0.8971 val_loss=0.5094 val_acc=0.8200 val_f1=0.7839
2026-02-08T20:39:59.287Z,p1_crnn_seed42,epoch_done,2133.84,epoch=5 train_loss=0.2187 train_acc=0.9225 train_f1=0.9029 val_loss=0.5026 val_acc=0.8237 val_f1=0.7843
2026-02-08T21:15:53.916Z,p1_crnn_seed42,epoch_done,2154.63,epoch=6 train_loss=0.2080 train_acc=0.9259 train_f1=0.9071 val_loss=0.5152 val_acc=0.8177 val_f1=0.7816
2026-02-08T21:52:28.437Z,p1_crnn_seed42,epoch_done,2194.52,epoch=7 train_loss=0.2028 train_acc=0.9273 train_f1=0.9089 val_loss=0.5140 val_acc=0.8219 val_f1=0.7841
2026-02-08T22:28:57.851Z,p1_crnn_seed42,epoch_done,2189.41,epoch=8 train_loss=0.1952 train_acc=0.9298 train_f1=0.9126 val_loss=0.5359 val_acc=0.8198 val_f1=0.7812
